Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$133.8001,0.3001,0.225%,2319737825734.00,United States,1980,24020669,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$511.31,-1.03,-0.201%,244406180000.00,United States,1986,620741,Technology,Computer Software: Prepackaged Software
AMZN,Amazon.com Inc. Common Stock,$3360.57,-1.45,-0.043%,1694119226640.00,United States,1997,716232,Consumer Services,Catalog/Specialty Distribution
ASML,ASML Holding N.V. New York Registry Shares,$653.50,-1.99,-0.304%,272191921219.00,Netherlands,1995,606752,Technology,Industrial Machinery/Components
CMCSA,Comcast Corporation Class A Common Stock,$54.64,-0.015,-0.027%,250287053238.00,United States,,3289461,Consumer Services,Television Services
CSCO,Cisco Systems Inc. Common Stock (DE),$51.9701,0.0401,0.077%,219406617056.00,United States,1990,3438187,Technology,Computer Communications Equipment
FB,Facebook Inc. Class A Common Stock,$300.855,-0.615,-0.204%,854807283016.00,United States,2012,5116014,Technology,Computer Software: Programming Data Processing
GOOG,Alphabet Inc. Class C Capital Stock,$2297.32,4.03,0.176%,1548707643238.00,United States,2004,274220,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$2281.79,3.44,0.151%,1538238300830.00,United States,,256198,Technology,Computer Software: Programming Data Processing
INTC,Intel Corporation Common Stock,$62.735,-0.965,-1.515%,255478607239.00,United States,,8739286,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$260.63,0.05,0.019%,1965727695353.00,United States,1986,6308948,Technology,Computer Software: Prepackaged Software
NFLX,Netflix Inc. Common Stock,$501.94,-6.96,-1.368%,222306847306.00,United States,2002,3855796,Consumer Services,Consumer Electronics/Video Chains
NVDA,NVIDIA Corporation Common Stock,$609.96,-4.46,-0.726%,378175200000.00,United States,1999,1427346,Technology,Semiconductors
PEP,PepsiCo Inc. Common Stock,$146.46,-0.52,-0.354%,202353714925.00,United States,,1126318,Consumer Non-Durables,Beverages (Production/Distribution)
PYPL,PayPal Holdings Inc. Common Stock,$265.05,0.16,0.06%,311237960216.00,United States,,1577782,Miscellaneous,Business Services
TSLA,Tesla Inc. Common Stock,$739.11,-5.01,-0.673%,709437323341.00,United States,2010,12851380,Capital Goods,Auto Manufacturing
